CASEID,wer_01,wer_03,wer_04,wer_05,wer_06,wer_07,wer_08,wer_09
  256,10,10, 8, 8, 5, 6,10,10
  257,10,10,10,10, 0, 3,10,10
  258,96,96,96,96,96,96,96,96
  259, 7, 1, 8, 9, 1, 1, 6, 6
  260,96,96,96,96,96,96,96,96
  261,96,96,96,96,96,96,96,96
  262,10,10,10,10,10, 8,10,10
  263,96,96,96,96,96,96,96,96
  264,96,96,96,96,96,96,96,96
  265, 7, 4, 7, 9, 2, 0,10,10
  266, 8,96, 9,10, 5, 8, 5,10
  267,10, 7, 7,10,10, 6,10, 7
  268,96,96,96,96,96,96,96,96
  269, 8, 6, 8,10, 7, 6,10,10
  270,10,10, 8,10,10, 8,10,10
  271, 8, 5,10,10,10,10, 9,10
  272, 8, 7, 9, 9,10, 9, 8,10
  273, 7, 5, 8,10, 5, 2, 7, 7
  274,96,96,96,96,96,96,96,96
  275, 4, 5, 7, 8, 1, 3, 5, 9
  276, 4,96, 8, 5, 4, 3, 8, 7
  277,96,96,96,96,96,96,96,96
  278,96,96,96,96,96,96,96,96
  279, 8,99, 8,10, 0, 3, 8,10
  280,10,10, 5,10,10,10, 5,10
  281,96,96,96,96,96,96,96,96
  282,96,96,96,96,96,96,96,96
  283,10, 5,10,10,10, 5,10,10
  284, 9, 8, 1,10, 7, 5, 7,10
  285,96,96,96,96,96,96,96,96
  286,10, 5,10,10, 0, 5,10,10
  287,96,96,96,96,96,96,96,96
  288, 7, 7, 6, 8, 3, 6, 6, 8
  289,96,96,96,96,96,96,96,96
  290, 4, 4, 9,10, 3, 8, 8,10
  291, 8, 8, 7, 8, 6, 3, 5, 8
  292, 7, 3,10,10, 1, 1,10, 8
  293,96,96,96,96,96,96,96,96
  294,96,96,96,96,96,96,96,96
  295,96,96,96,96,96,96,96,96
  296,96,96,96,96,96,96,96,96
  297,10,96, 8,10, 0, 2,10,10
  298, 8, 4, 8, 8,10, 4, 8,10
  299, 8, 7, 9, 6, 4, 6, 6,10
  300,96,96,96,96,96,96,96,96
  301, 8, 5, 8,10, 4, 5, 7, 9
  302, 8, 4, 8, 9, 4, 4, 8, 7
  303,10,96,10,10,97, 7,10,10
  304,96,96,96,96,96,96,96,96
  305, 8,10,10, 8,10, 7, 9, 9
  306,96,96,96,96,96,96,96,96
  307,96,96,96,96,96,96,96,96
  308,10, 5,10,10, 0, 5,10,10
  309,10, 1,10,10, 0, 0, 8,10
  310, 7, 5, 7, 8, 0, 0, 6, 6
  311,10,96,10,10, 0, 0,10,10
  312, 8, 3, 8, 8, 1, 3, 8, 8
  313, 9, 6, 8, 9, 1, 2, 8, 8
  314,96,96,96,96,96,96,96,96
  315, 8, 6, 7, 8,10, 7, 8, 8
  316,96,96,96,96,96,96,96,96
  317, 8,96,10,10, 1, 2, 8, 8
  318,96,96,96,96,96,96,96,96
  319, 8, 0,97,10, 0, 0,97,10
  320, 7,96, 8, 8,10, 5, 5, 8
  321,96,96,96,96,96,96,96,96
  322, 9, 2, 9,10, 0, 2,10, 9
  323,96,96,96,96,96,96,96,96
  324,96,96,96,96,96,96,96,96
  325,96,96,96,96,96,96,96,96
  326, 6, 6, 8, 3, 9, 4, 7, 4
  327, 8, 7, 9, 9, 3, 8, 8, 9
  328,10, 0,10,10, 5, 0, 8,10
  329,96,96,96,96,96,96,96,96
  330,96,96,96,96,96,96,96,96
  331,96,96,96,96,96,96,96,96
  332,96,96,96,96,96,96,96,96
  333,96,96,96,96,96,96,96,96
  334,10, 6, 9,10, 0, 0, 5, 7
  335, 7, 9,10, 8, 7, 6, 9, 8
  336, 8,96,10,10, 0, 5,10,10
  337,10, 0,10,10, 0, 0, 7,10
  338, 8, 8, 6, 7, 3, 5, 7, 8
  339, 8, 2, 8, 8, 2, 6, 8, 8
  340,10, 2, 8,10, 5, 4,10,10
  341, 8, 3,10,10, 1, 3, 3,10
  342,10,96,10,10,10,10,10,10
  343,96,96,96,96,96,96,96,96
